Импетиго,Поверхностное гнойничковое заболевание кожи.
Эпатаж,"Умышленно провокационная выходка или вызывающее, шокирующее поведение, противоречащие принятым в обществе правовым, нравственным, социальным и другим нормам, демонстрируемые с целью привлечения внимания."
Пуризм,"строгое стремление к чистоте нравов, также стремление к чистоте литературного языка"
Панторифмы,"сплошные рифмы, в которых все слова рифмуются между собой"
Интервенция,"военное, политическое или экономическое вмешательство одного или нескольких государств во внутренние дела другой страны, нарушающее её суверенитет"
Комильфо,"приличный, соответствующий  правилам  хорошего тона. Антоним - моветон."
Импичмент,Процесс отрешения от должности и привлечения к судебной ответственности высших должностных лиц и президента.
Валидность,полное соответствие неким стандартам или соответствие результата изначально поставленным задачам
Инвективы,"нецензурная, площадная брань, матерщина; часто употребляется в сочетании инвективная лексика"
Хору́гвь,"Религиозное знамя с образом Иисуса Христа, Богородицы или святых."
Убиквист,"вид растений и животных, обитающих повсеместно"
Плебисци́т,"всенародное голосование, устраиваемое для решения каких-нибудь особенно важных вопросов; то же, что референдум"
Верификация,проверка теории практикой или просто проверка на соответствие
Апология,"речь или письменное произведение, направленное к оправданию или защите кого-либо или чего-либо."
Аляпова́тый,"Лишённый соразмерности частей и деталей, сделанный грубо, безвкусно"
Гиперплазия, увеличение числа структурных элементов тканей путём их избыточного новообразования.
Дилемма,"положение, при котором выбор одной из двух противоположных возможностей одинаково затруднителен"
Силлоги́зм,"логическое умозаключение, в котором из двух данных суждений (посылок) следует третье (вывод)"
Манкирование,пренебрежительное отношение к своим обязанностям
Галоп,Самый быстрый аллюр лошади.
Арипофобия,боязнь чистоты
Казуи́стика,изворотливость в аргументах при доказательстве сомнительных или ложных идей.
Остракизм,"в широком смысле - презрение, неприятие, осмеяние со стороны окружающего общества, изгнание гражданина из государства посредством голосования черепками в древних афинах"
Апофео́з,"обожествление, прославление, возвеличение какого-либо лица, события или явления"
Хикикомори,"японский термин, обозначающий подростков и молодёжь, отказывающихся от социальной жизни и зачастую стремящихся к крайней степени изоляции и уединения вследствие разных личных и социальных факторов; такие люди не имеют работы и живут на иждивении родственников"
Конверге́нция,"процесс сближения, в результате которого различные стороны приобретают схожие признаки"
Синопсис,изложение некой темы в сильно сжатом и обобщенном виде
Тормозок,"Шахтерский завтрак, еда, которую берут с собой в шахту"
Экзеге́тика,"раздел богословия, в котором истолковываются библейские тексты"
Психотизм,"Психологический показатель уровня склонности человека к асоциальному поведению, конфликтности."
Филофония,коллекционирование звукозаписей.
Понеже,"(устар.) поскольку, так как, потому что."
Алчность,Неумеренная склонность к получению материальных благ.
Амперса́нд,"Название знака &, используется как союз ""и"""
Фертильный,"способный производить потомство, давать плоды  "
Акме,"высшая степень чего-либо, вершина
"
Меритократия,"принцип управления, согласно которому руководящие посты должны занимать наиболее способные люди, независимо от их социального происхождения и финансового достатка."
Алармист,"это человек, склонный к панике, распространению непроверенных и необоснованных слухов"
Приватизация,"Форма преобразования собственности, представляющая собой процесс передачи (полной или частичной) государственной (муниципальной) собственности в частные руки."
Копролалия,"болезненное, иногда непреодолимое импульсивное влечение к циничной и нецензурной брани безо всякого повода."
Плей-офф,"система розыгрыша (организации соревнований), при которой участник выбывает из турнира после первого же проигрыша"
Пролонгация,"Продление срока действия чего-либо, какого-либо процесса"
Лаунж,"термин в популярной музыке для обозначения лёгкой, фоновой музыки, которая первоначально часто звучала в холлах гостиниц, магазинов, в кафе, в лифтах."
Евхаристия,"одно из таинств христианства, причащение – «вкушение» тела христа под видом вина и хлеба"
Фроттеризм,прикосновение или трение с целью получения сексуального удовлетворения
Глабель,Пространство между бровями
Мономания,Навязчивая или чрезмерная увлечённость одной идеей или субъектом; одностороннее однопредметное помешательство.
Померий,"Античная граница, обозначавшая священные пределы города Рима, его сакральная граница."
Вёдро ,Летняя сухая и ясная погода.
Архетипы,"врожденные психические структуры сознания, неясные образы, одинаковые для всех людей и проникающие, с одной стороны, в сны, а с другой в сказки и мифы, которые у разных народов почти идентичны."
Имплици́тный,Не проявляющийся явно; не обнаруживающийся при поверхностном наблюдении
Тренд,"актуальное направление, тенденция в развитии чего-либо"
Сли́нки,"Пластиковая или металлическая игрушка-пружина, которую можно перекидывать из рук в руки, спускать по ступенькам или носить в качестве браслета."
Консьюмеризм,общественное движение за расширение прав потребителей.
Метапуризм,"это когда слова, обозначающие хорошие вещи, действия и занятия, признаются за плохие"
Аннигиляция,"полное уничтожение
(имеет разные значения в физике, философии итд.)"
Ойкофобия,фобия возвращения домой после выписки из психиатрической лечебницы
Апокрифичный,"Недостоверный, маловероятный, мнимый."
Латентность,"скрытое, неяркое проявление существующего признака"
Мезальянс,"брак между людьми разных сословий или классов, между людьми, сильно отличающимися по имущественному или социальному положению."
Экстирпация," Хирургическая операция полного удаления какого либо органа (например, желудка, матки, гортани). Проводится преимущественно при поражении органа злокачественной опухолью."
Марабель,"сорт сливы, занимающий промежуточное место между сливой и алычой"
Схизма,"раскол, отделение от ранее единой церкви какой-либо её части "
Штудия,"учебный рисунок, набросок"
Старлетка,"подающая надежды молодая актриса, восходящая кинозвезда"
Парадигма,"в просторечье означает взгляды, мировоззрения, понятия, убеждения, модели"
Акнé,"Воспаление сальных желёз, заболевание известное как ""прыщи""."
Фью́черс,"Производный финансовый инструмент, стандартный срочный биржевой контракт купли-продажи базового актива, при заключении которого стороны (продавец и покупатель) договариваются только об уровне цены и сроке поставки."
Автоним,"подлинное имя автора, выступающего под псевдонимом."
Кассация," форма обжалования и опротестования в вышестоящий суд и проверки этим судом законности и обоснованности решений, приговоров, определений и постановлений суда, не вступивших в законную силу."
Кипер," кожаная петля на ремне, которая держит свободный кончик застегнутого ремня."
Генезис,"происхождение, возникновение, зарождение, начало чего-либо; происходит от названия ветхозаветной книги бытия"
Ригоризм,строгое и фанатичное следование нормам и принципам
Кли́ринг,"Безналичные расчёты между странами, компаниями за проданные друг другу товары, ценные бумаги и оказанные услуги."
Антиподы,обитатели диаметрально противоположных пунктов земного шара или люди с противоположными взглядами
Гарсоньéрка,"Берлога холостяка, чаще всего небольшие однокомнатные апартаменты"
Мажоритарий,"владелец (физическое или юридическое лицо) пакета акций, который позволяет акционеру реализовать свое право участвовать в управлении акционерном обществом."
Обсессивность,существование побуждений при отсутствии их реализации
Антураж,"совокупность окружающих условий, обстановка, окружение"
Канони́р,"рядовой в артиллерии, пушкарь (в российской армии до 1917 г.)."
Реверс,оборотная сторона монеты или медали
Ревю,Одна из разновидностей музыкального театра. 
Лонгплей,формат звукозаписи на грампластинках для воспроизведения
Панегирик,ораторская речь хвалебного содержания
Абиентный,избегающий чего-либо
Креще́ндо,В музыке — постепенное увеличение силы звука.
Реверберация,"«внутреннее эхо» замкнутых пространств, эффект отраженных от стен звуковых волн, воспринимаемых слушателем"
Индифферентно,"безразлично, неважно, все равно"
Аудиенция,"официальный, личный приём у лица, занимающего высокий пост; как правило, у монарха, президента, папы римского."
Руминация,"навязчивый тип мышления, при котором одни и те же темы или мысли постоянно возникают в голове человека, вытесняя все другие виды психической активности"
Брифинг,"краткая пресс-конференция, посвященная одному вопросу"
Эшафо́т,Сооружение для проведения казней.
Деко́ль,Технология нанесения изображения на керамические или стеклянные изделия.
Антоло́гия,"заглавие сборников избранных статей, стихотворений, афоризмов"
Диффу́зия,"Процесс взаимного проникновения молекул или атомов одного вещества между молекулами или атомами другого, приводящий к самопроизвольному выравниванию их концентраций по всему занимаемому объёму."
Консолидация,Процесс перехода кратковременной памяти в долговременную.
Скабрёзный,"неприличный, непристойный, содержащий сальности"
Коллизия,"столкновение противоположных сил, интересов, стремлений"
Бенефициарий,"Лицо, пользующееся какими-либо благами на основании договора или иного законного документа."
Сатисфакция,удовлетворение за оскорбление чести.
Клакёр,"профессия человека, который занимается созданием искусственного успеха либо провала артиста или целого спектакля"
Эмтаназия,процедура соразмерного лишения преступника жизни по гражданскому иску
Холдинг,"система предприятий, состоящая из управляющей компании и дочерних фирм"
Мутуализм,длительное взаимовыгодное сожительство двух организмов разных видов.
Эманация,"истечение чего-либо откуда-либо, появление чего-то в результате выделения из чего-то более сложного"
Эвфемизм,замена грубых или резких слов и выражений более мягкими
Херуви́м,упоминаемое в Библии крылатое небесное существо
Постулат,"истина, принимаемая без доказательств"
Табу,"запрет светского или религиозного харктера, налагаемый на какое-либо действия или слово"
Депривация,ощущение недостаточности удовлетворения своих потребностей
Цинизм,"выражение отрицательного, пренебрежительного отношения к общепринятым нормам"
Волюнтаризм,"учение, полагающее в основы бытия волевое начало."
Ме́нтик,"Гусарская короткая одежда вроде курточки, опушенная мехом, надеваемая поверх доломана."
Стяжа́тель,"Корыстолюбивый человек, стремящийся к наживе, накоплению денег, материальных богатств."
Темляк,"прочная петля из кожи или иного материала, крепящаяся к рукояти и надеваемая на запястье руки, удерживающей оружие"
Партитура,в музыке — нотная запись многоголосного музыкального произведения
Беллетристика,"это лёгкая литература, наиболее присущая таким жанрам, как дамский роман, детектив, приключения, мистика"
Гинекомастия,Увеличение груди у мужчин.
Саногенез,"процесс восстановления нарушенных в течение болезни функций организма, его саморегуляции"
Рудимент,Неразвитый или бесполезный орган в организме. Часто применяется по отношению к бесполезным людям или вещам.
Липофрения ,"Беспричинная грусть. Когда печаль ничем не вызвана, а появляется лишь от недостатка негативных эмоций. "
Оскуляция ,поцелуй
Пенилинкция,Разновидность орогенитального контакта (вызывание полового возбуждения воздействием ртом и языком на половой член партнера)
Амбивалентность,"двойственность переживания, выражающаяся в том, что один объект вызывает у человека одновременно два противоположных чувства"
Эфемерность,"обманчивость, мимолетность, недолговечность, призрачность."
Иллюзорность,"иллюзия чувственной достоверности, которая может проявляться в кажущейся осязаемости, телесности и объёмности воспроизводимых на плоскости предметов"
Контент,любое информационно значимое наполнение информационного ресурса.
Клептократия,"воровская власть, власть жуликов"
Эфемерный,"Скоропреходящий, непрочный; мнимый, призрачный, нереальный."
Дискурс,"фрагмент текста или текст, излагающий некую отдельную мысль"
Хрия,"речь, рассуждение на заданную тему, составленные по определённым правилам"
Боваризм ,невозможность четко разграничить фантазию и действительность
Транспарентность,"прозрачность, открытость"
Реферал,"человек, привлеченный в партнерскую программу"
Гериатрия,"Частный раздел геронтологии, занимающийся изучением, профилактикой и лечением болезней старческого возраста. "
Предтеча,"предшественник, лицо, своей деятельностью, подготовляющее путь кому или чему-либо, почву для кого или чего-либо"
Аболиционизм,движение за отмену рабства и освобождение рабов
Атара́ксия,"Абсолютное спокойствие, безмятежность, эмоциональная стабильность."
Трансцендентный,"ментальное возвышение над сутью, т.е. недоступное опытному познанию, и не основаное на опыте"
Ургентный,"незамедлительный, безотлагательный"
Целиба́т,"Обязательное безбрачие (обязательный обет безбрачия), как правило, принятый по религиозным соображениям."
Мурмурация ,Красивый танец скворцов во время перелетов; как у них так получается и для чего они это делают — достоверно пока не известно.
Апофеоз,"Феерическое окончание, завершение какого-либо процесса"
Эристика," искусство спора, диспута и полемики, разрабатывавшееся софистами "
Фигляр,"плут, ловкий обманщик, притворный, двуличный человек; иными словами — скоморох, фокусник, штукарь, кривляка"
Декантация,процесс переливания вина из бутылки в стеклянный графин с целью отделения его от осадка
Кворум,"установленное законом, уставом или инструкцией число участников собрания или заседания, необходимое для принятия решения"
Колумбарий,"место, где после кремации устанавливаются урны с прахом"
Фриссон,"озноб во время прослушивания музыки, которая Вам нравится."
Прострация,"безразличие к происходящему, сопровождающееся упадком сил после сильнейшего физического или нервного перенапряжения"
Редупликация,"Удвоение начального слога, основы или слова."
Контральто,Самый  низкий женский певческий голос с широким диапазоном грудного регистра
Ха́ртия,"публично-правовой и политический документ, содержащий какие-либо требования или манифест"
Променад,"прогулка по городу; слово часто используется как синоним прогулки, на манер прозы xix века, когда французский язык был общеупотребительным в российской империи"
Прелю́дия,"действия предваряющие основное событие, но являющимися не менее значимыми в комплексе происходящего"
Витиеватый ,"отличающийся необычностью и сложностью очертаний, осложненный украшениями; замысловатый, затейливый"
Нигилизм,С философской позиции - отрицание осмысленности всего существующего
Скрапбукинг,"декоративная техника и принципы оформления альбомов с фотографиями, открытками, вырезками и другими подобными объектами."
Боке,"Вид изображения вне фокуса, то, как объектив размывает нерезкие объекты."
Синхронность,Одновременность.
Тороватый,"великодушный, щедрый, чивый, несдержанный, склонный к излишествам в проявлении чего-либо"
Эклектизм,"неорганичное соединение разнородных, внутренне несоединимых, часто противоположных принципов, взглядов, теорий, художест"
Маргинал,"Человек, находящийся на границе различных социальных групп и испытывающий влияние противоречащих друг другу норм."
Курьёз,"Забавный и смешной случай, обстоятельство"
Экстраполя́ция,"распространение выводов, сделанных по результатам одной части исследования, на другие его части"
Реквизиция,принудительное возмездное изъятие имущества в собственность или во временное пользование государства.
Сляйд,специальное твердое анатомическое сидение для байдарок
Флюктуация,случайное отклонение величины от среднего значение
Брахистохрона, кривая скорейшего спуска
Концепция,"сложившаяся система взглядов; точка зрения, которая определяет дальнейшие действия"
Эпикурейство,"склонность к чувственным удовольствиям, к изнеженной жизни."
Ликви́дность,"легкость реализации, продажи, превращения материальных ценностей в денежные средства"
Экзальта́ция,приподнятое настроение с оттенком восторженности.
Вотум,"мнение, выраженное путём голосования."
Дистресс,"стресс, связанный с выраженными негативными эмоциями и оказывающий вредное влияние на здоровье"
Эмерджентность,"Возникновение у системы особых свойств, не присущих ее отдельным частям."
Мисофония,"Буквально “отвращение к звукам”, является формой нетерпимости к звукам."
Дискредитация,утрата доверия
Гамартия,Фатальный изъян
Ангедония,"Снижение или утрата способности получать удовольствие, сопровождающееся потерей активности в его достижении."
Вико́нт,"Заместитель графа, вице-граф."
Фраппировать,"неприятно поразить, ошеломить, удивить"
Штраймл,"головной убор хасидов, который они надевают только в особо торжественных случаях "
Экстрадиция,выдача преступника одним государством по запросу другого
Филиппика,в переносном смысле означает гневную и обличительную речь. 
Испражнения,"Ежедневная, в отсутствии запоров, правда жизни.  Употребленная - неусвоенная и отторгнутая естественным путём пища."
Тизер,"рекламное сообщение, построенное как загадка, которое содержит часть информации о продукте, но при этом сам товар не демонстрируется"
Гальюн,"На современных судах так называют помещение, где команда может отправить естественные надобности, а также оборудование для удаления за борт продуктов жизнедеятельности."
Партеногенез,"одна из форма полового размножения организмов,при которой женские половые клетки развиваются без оплодотворения."
Эпистолярий,собрание чьих-либо писем
Забрус,"Восковые крышечки, которыми запечатаны ячейки сотов с медом"
Эспадри́льи,"Летняя мужская и женская обувь, матерчатые тапочки на верёвочной подошве из натуральных материалов. Родина — Испания и юг Франции."
Пентименто,"закрашенные самим художником детали, проступающие позднее на рентгенограмме или вследствие шелушения."
Канюля,"Трубка, предназначенная для введения лекарств в полости человеческого организма."
Обнубиляции,лёгкая степень оглушения; кажется будто человек находится в легкой степени опьянения
Девальва̒ция,"Обесценивание денег,официальное снижение курса национальной валюты по отношению к твердым иностранным валютам."
Сибаризм,"праздность, избалованность роскошью"
Третировать ,"Обращаться с кем-либо пренебрежительно, свысока; не считаться с кем-либо."
Бексултан,"это слово с дневне-тюркского языка означает сильный, могучий и добрый правитель, у которого большая, хорошая репутация и вес в обществе. Также употребляется как имя мальчику в Кыргызстане и Казахстане "
Тризна,"часть языческого погребального обряда у восточных славян, состояла из песен, плясок, пиршества и военных состязаний в честь покойного"
Гиюр,"обращение нееврея в иудаизм, а также связанный с этим обряд"
Ренегат,"человек, изменивший своим убеждениям, перешедший в лагерь противников; изменник, отступник"
Топиари,искусство декоративной стрижки деревьев и кустарников
Аффектация,"неестественная, обычно показная возбужденность в поведении, в речи"
Денота́ция,лексическое значение слова
Консеквенция,"результат, последствие, итог"
Толерантность,"терпимость к иному мировоззрению, образу жизни, поведению и обычаям"
Карфология,"предагональный симптом в виде непроизвольных движений рук, напоминающих собирание чего-то с поверхности постели, своего тела или хватание чего-то будто бы пролетающего перед глазами."
Саспенс,"художественный эффект, особое продолжительное тревожное состояние зрителя при просмотре кинофильма"
Энотека,"коллекция вин, хранилище для вин, разлитых в бутылки."
Консистентность,"согласованность данных друг с другом, целостность, а также внутренняя непротиворечивость."
Пассионарный,наделенный внутренней энергией. 
Трипофобия,Боязнь повторяющихся отверстий.
Водеви́ль,"жанр легкой комедийной пьесы или спектакля с занимательной интригой или анекдотическим сюжетом, сопровождающийся музыкой"
Нарратив,"рассказ, описывающий некие фактические события, изложенные в авторском стиле интерпретатора
"
Ономатет,Создатель или творец наименований.
Деградация,"ухудшаться, вырождаться, двигаться назад в развитии"
Регургитация,"Обратное, неестественное движение газов или жидкостей."
Котильон,бальный танец французского происхождения.
Фантасмагория,"Нечто фантастическое, нереальное и причудливое, похожее на бред"
Адде́ндум,"письменное дополнение к ранее заключенному договору, в котором содержатся согласованные между сторонами изменения "
Депеша,срочное официальное уведомление
Бинди,"цветная точка, которую индианки рисуют в центре лба; она означает, что эта женщина замужем"
Хоспис,"медицинское учреждение, в котором неизличимо больные люди получают необходимую помощь и уход"
Орфоэпия,"область языкознания, отвечающая за нормы правильного литературного произношения языка, его единообразия"
Абсанс,"Кратковременное затемнение, блокировка сознания"
Парите́т,"равенство сторон, проявляющееся в равноценности и равнозначности при решении каких-либо вопросов"
Геронтофилия,влечение к людям старческого возраста
Фетиш,предмет слепого неосознанного поклонения
Дистимия,"подавленное, тоскливое настроение"
Патте́рн,набор стереотипных поведенческих реакций или последовательностей действий.
Девиа́ция,отклонение параметров от нормы
Мидриаз,Расширение зрачка
Энци́клика,"Основной папский документ по тем или иным важнейшим социально-политическим, религиозным и нравственным вопросам"
Аннотация,краткое содержание представленного труда
Перманентный,"постоянный, не меняющийся и всегда остающийся в том состоянии, в котором находится на данный момент."
Парестезия,"Чувство покалывания, онемения и мурашек в конечностях."
Ипохо́ндрик,"человек, который постоянно беспокоится о своем здоровье, боится возможности заболеть одной или несколькими болезнями"
Сентенция,изречение нравоучительного характера.
Симуля́кр,"изображение или объяснение того, что в реальности не существует"
Мюзле́,Проволочная уздечка для закрепления пробки шампанского
Инаугурация ,Церемония вступления в должность
Превенция,"предупреждение, предохранение, предотвращение."
Бирюльки,"набор мелких деревянных предметов (топорики, ухватики, лопатки, кочерги) для детской игры, состоящей в том, чтобы доставать эти предметы из кучки один за другим, не шевельнув остальных."
Лю́мпен,Лицо не имеющее никакой собственности и живущее случайными заработками
Нарцисси́зм,"черта характера, заключающаяся в исключительной самовлюблённости. Слова «нарциссизм», «нарциссический» и «нарцисс» обычно используются как негативно окрашенные, указывающие на тщеславие, самомнение, эгоизм или просто самовлюблённость"
Тет-а-тет,с глазу на глаз
Анахронизм,"ошибочное отнесение событий, явлений, предметов, личностей к другому времени"
Кавалькада,"группа всадников, едущих вместе."
Биеннале,"(лат. bis — дважды + annuus — год) выставка, фестиваль или творческий конкурс, проходящие раз в два года."
Доппельгангер,"Двойник человека, появляющийся как тёмная сторона личности или антитеза ангелу-хранителю."
Хедж-фонд,"частный, не ограниченный нормативным регулированием, инвестиционный фонд, недоступный широкому кругу лиц."
Индульгенция,"Грамота об отпущении грехов, выдаваемая католической церковью за деньги или за какие-нибудь заслуги."
Синклит,"в переносном смысле (обычно иронически) - полное собрание, заседание избранных или высокопоставленных лиц, например общее собрание акционеров. "
Пердимонокль,"Предмет или явление, вызывающее сильное удивление."
Трибьют-альбом,"Зачастую такой альбом представляет собой сборник произведений одного автора, исполнителя или музыкальной группы, записанных разными музыкантами и, таким образом, посвящённый этому исполнителю."
Библиотаф,Владелец библиотеки не позволяющий никому пользоваться своими книгами
Перистальтика,"Волнообразное сокращение стенок полых трубчатых органов (пищевода, желудка, кишечника, мочеточников и др.), способствующее продвижению их содержимого к выходным отверстиям."
Виадук,"Искусственное дорожное сооружение, служащее для пропуска транспортных средств или пешеходов над понижением рельефа"
Контроверза,"Разногласие, расхождение во мнении, спор"
Феерия,"жанр театральных представлений, основанных на применении различных постановочных эффектов, трюков, «превращений»"
Рипофобия,"навязчивый страх – боязнь грязи, нечистоты"
Регресс,"упадок в развитии чего-либо, движение назад"
Апокриф,"литературное произведение, созданное на основе другого"
Дилижанс,"Многоместный крытый экипаж, запрягавшийся лошадьми, для перевозки пассажиров и почты по определенному маршруту"
Парвеню́,"добившийся успеха, разбогатевший; выскочка"
Эпикурейство ,"Главный интерес для эпикурейцев представляет чувственный мир, поэтому их основной этический принцип — удовольствие."
